station_name,slug,station_id
Ameerpet,ameerpet-metro-station,160011
Assembly,assembly-metro-station,160016
Balanagar,balanagar-metro-station,160005
Begumpet,begumpet-metro-station,160054
Bharat Nagar,bharatnagar-metro-station,160007
Chaitanyapuri,chaitanyapuri-metro-station,160025
Chikkadpally,chikkadpally-metro-station,160033
Dilsukhnagar,dilsukhnagar-metro-station,160024
Durgam Cheruvu,durgam-cheruvu-metro-station,160062
Erragadda,erragadda-metro-station,160008
Errum Manzil,errum-manzil-metro-station,160013
ESI Hospital,esi-hospital-metro-station,160009
Gandhi Bhavan,gandhi-bhavan-metro-station,160018
Gandhi Hospital,gandhi-hospital-metro-station,160030
Habsiguda,habsiguda-metro-station,160046
Hitec City,hitec-city-metro-station,160063
JBS Parade Ground,jbs-parade-ground-metro-station,160028
JNTU College,jntu-college-metro-station,160002
Jubilee Hills Check Post,jubilee-hills-check-post-metro-station,160059
Khairatabad,khairatabad-metro-station,160014
KPHB Colony,kphb-colony-metro-station,160003
Kukatpally,kukatpally-metro-station,160004
Lakdi Ka Pul,lakdi-ka-pul-metro-station,160015
LB Nagar,lb-nagar-metro-station,160027
Madhapur,madhapur-metro-station,160061
Madhura Nagar,madhura-nagar-metro-station,160056
Malakpet,malakpet-metro-station,160021
Mettuguda,mettuguda-metro-station,160048
MG Bus Station,mg-bus-station-metro-station,160020
Miyapur,miyapur-metro-station,160001
Moosapet,moosapet-metro-station,160006
Musarambagh,musarambagh-metro-station,160023
Musheerabad,musheerabad-metro-station,160031
Nagole,nagole-metro-station,160042
Nampally,nampally-metro-station,160017
Narayanguda,narayanguda-metro-station,160034
New Market,new-market-metro-station,160022
NGRI,ngri-metro-station,160045
Osmania Medical College,osmania-medical-college-metro-station,160019
Paradise,paradise-metro-station,160051
Peddamma Gudi,peddamma-temple-metro-station,160060
Prakash Nagar,prakash-nagar-metro-station,160053
Punjagutta,punjagutta-metro-station,160012
Raidurg,raidurg-metro-station,160064
Rasoolpura,rasoolpura-metro-station,160052
Road No 5 Jubilee Hills,jubilee-hills-road-no-5-metro-station,160058
RTC X Roads,rtc-cross-roads-metro-station,160032
Secunderabad East,secunderabad-east-metro-station,160049
Secunderabad West,secunderabad-west-metro-station,160029
SR Nagar,sr-nagar-metro-station,160010
Stadium,stadium-metro-station,160044
Sultan Bazar,sultan-bazaar-metro-station,160035
Tarnaka,tarnaka-metro-station,160047
Uppal,uppal-metro-station,160043
Victoria Memorial,victoria-memorial-metro-station,160026
Yousufguda,yousufguda-metro-station,160057